stock name,last traded price,haircut percentage,post haircut value
UNITDSPR,1501.7,0.2,1201360.0000000002
SGBNOV26,8899.0,0.1,8009100.0
SGBSEP28VI,8740.14,0.1,7866125.999999999
SGBDEC25,8925.0,0.1,8032500.0
JAMNAAUTO,75.6,0.2,60480.0
BAJAJHFL,124.23,0.2,99384.00000000001
CMSINFO,459.8,0.2,367840.00000000006
ARVINDFASN,405.2,0.2,324160.0
SBICARD,882.4,0.2,705920.0000000001
LOWVOLIETF,20.56,0.0617,19291.448
PHOENIXLTD,1548.3,0.2,1238640.0
AUROPHARMA,1134.7,0.2,907760.0000000001
CERA,5664.5,0.2,4531600.0
VPRPL,170.45,0.2143,133922.565
TBOTEK,1096.1,0.2,876880.0
AVANTEL,124.34,0.2,99472.00000000001
HINDUNILVR,2361.5,0.09,2148965.0
LUPIN,2012.8,0.2,1610240.0
ITBEES,35.95,0.2,28760.000000000004
ALPL30IETF,25.99,0.06,24430.6
SETFGOLD,79.97,0.2,63976.0
SUDARSCHEM,1025.3,0.2,820240.0
KSB,729.45,0.2,583560.0000000001
LAURUSLABS,625.15,0.2,500120.0
SUPREMEIND,3378.5,0.2,2702800.0
LTIM,4317.6,0.2,3454080.0000000005
SYMPHONY,1162.7,0.2,930160.0000000001
SGBOCT26,9099.0,0.1,8189100.0
HINDOILEXP,170.84,0.2,136672.0
MON100,167.95,0.09970000000000001,151205.38499999998
VIPIND,275.15,0.2,220120.0
SUPRIYA,732.95,0.23010000000000003,564298.2050000001
PTC,176.18,0.2,140944.00000000003
HDFCAMC,4133.1,0.2,3306480.0000000005
JUSTDIAL,880.2,0.2,704160.0000000001
GOLD1,78.13,0.2,62504.0
ACE,1248.4,0.2,998720.0000000001
SGBJ28VIII,8755.0,0.1,7879500.0
LIQUIDETF,1000.0,0.05,950000.0
UJJIVANSFB,39.75,0.2,31800.0
KALYANKJIL,514.15,0.2072,407618.12
SYRMA,492.45,0.2177,385243.635
BALRAMCHIN,551.2,0.2,440960.00000000006
PATELENG,41.39,0.2,33112.0
TATAELXSI,4931.0,0.2,3944800.0
PROTEAN,1412.6,0.2,1130080.0
SGBMAR31IV,8855.36,0.1,7969824.000000001
DBL,453.1,0.2,362480.0
SGBJAN30IX,8790.0,0.1,7911000.0
PNBHOUSING,970.8,0.2,776640.0
PSUBNKBEES,69.56,0.2,55648.0
ADANIPORTS,1210.8,0.16010000000000002,1016950.9199999999
HINDZINC,433.9,0.2,347120.0
NYKAA,185.86,0.2,148688.00000000003
JISLJALEQS,54.35,0.2214,42316.91
J&KBANK,93.15,0.2,74520.00000000001
SGBSEP29VI,8756.38,0.1,7880741.999999999
KIMS,630.55,0.2,504440.0
VIJAYA,1000.3,0.20989999999999998,790337.03
METROPOLIS,1645.0,0.2,1316000.0
HGINFRA,1084.9,0.2,867920.0000000001
PCBL,427.95,0.2,342360.0
TATACOMM,1591.0,0.2,1272800.0000000002
GROWWLIQID,103.55,0.05,98372.49999999999
ATGL,610.65,0.20920000000000002,482902.01999999996
DATAPATTNS,1878.7,0.21789999999999998,1469331.27
SILVERETF,93.39,0.2,74712.0
RAINBOW,1565.2,0.2,1252160.0
TEXRAIL,138.26,0.2299,106474.026
SUNDRMFAST,917.35,0.2,733880.0000000001
ASHOKLEY,214.95,0.2,171960.0
AMBER,6880.0,0.2223,5350576.0
VESUVIUS,4557.1,0.2,3645680.0000000005
GSPL,314.3,0.2,251440.00000000003
SGBDC27VII,8798.57,0.1,7918713.0
BDL,1404.9,0.203,1119705.3
TATAMOTORS,622.2,0.1288,542060.64
NV20IETF,13.69,0.2,10952.0
SGBNOV25IX,8365.01,0.1,7528509.0
FORCEMOT,8873.5,0.2115,6996754.75
BATAINDIA,1229.8,0.2,983840.0
INFIBEAM,17.42,0.2,13936.000000000002
CSBBANK,331.75,0.2,265400.00000000006
JKCEMENT,5059.4,0.2,4047520.0
WABAG,1442.0,0.21050000000000002,1138459.0
KRN,828.25,0.2009,661854.5750000001
AVANTIFEED,851.55,0.2045,677408.0249999999
JYOTICNC,1062.2,0.2168,831915.04
DAMCAPITAL,218.88,0.2,175104.0
ASHOKA,194.94,0.20600000000000002,154782.36000000002
POLYMED,2242.2,0.2,1793760.0
COROMANDEL,2194.1,0.2,1755280.0
CIEINDIA,411.4,0.2,329120.0
SGBDEC26,8985.0,0.1,8086500.0
GLENMARK,1376.9,0.2,1101520.0000000002
SAMHI,158.78,0.2,127024.0
LT,3257.6,0.1104,2897960.96
STARHEALTH,383.15,0.2,306520.0
AXISBANK,1112.8,0.0942,1007974.2399999999
RAILTEL,306.5,0.2302,235943.7
JSWENERGY,512.6,0.2,410080.00000000006
VMM,107.34,0.2,85872.00000000001
ELECTCAST,98.45,0.2115,77627.825
CAPACITE,370.9,0.2,296719.99999999994
BSE,5958.0,0.2539,4445263.8
IPCALAB,1368.0,0.2,1094400.0
FDC,425.0,0.2,340000.0
CENTRALBK,35.27,0.2002,28208.946000000004
DBREALTY,192.22,0.2576,142704.128
HINDPETRO,379.1,0.2,303280.00000000006
BAJFINANCE,9141.0,0.1051,8180280.9
NLCINDIA,238.93,0.2034,190331.638
SURYAROSNI,257.76,0.2155,202212.72
LTGILTBEES,28.4,0.1,25560.0
KESORAMIND,3.5,1.0,0.0
INGERRAND,3544.8,0.2,2835840.0
ABBOTINDIA,30950.0,0.2,24760000.0
PARADEEP,133.06,0.2119,104864.586
SCI,173.64,0.22039999999999998,135369.744
IOC,132.87,0.2,106296.0
OBEROIRLTY,1624.7,0.2,1299760.0000000002
BALKRISIND,2493.2,0.2,1994560.0
IEX,184.01,0.2,147208.0
NTPCGREEN,98.92,0.2,79136.00000000001
EMBDL,104.44,0.2507,78256.892
ENDURANCE,1920.2,0.2,1536160.0
MIDHANI,279.45,0.2,223560.0
ANUP,3190.6,0.2241,2475586.54
INDHOTEL,836.35,0.2,669080.0
HIMATSEIDE,146.33,0.2278,112996.02600000001
AUTOBEES,216.7,0.2,173360.0
GENESYS,674.45,0.26289999999999997,497137.0950000001
PNB,96.59,0.2,77272.0
FSL,330.15,0.2,264120.0
ULTRACEMCO,11719.0,0.0958,10596319.799999999
ASTRAZEN,8873.5,0.2,7098800.0
PRINCEPIPE,261.46,0.2,209168.0
BANKBARODA,234.95,0.2,187960.0
ICICIGI,1822.6,0.2,1458080.0
GHCL,609.9,0.2,487920.0
